source,target,type,weight
292,46362,directed,1
292,46363,directed,1
292,46364,directed,1
228,46365,directed,1
228,46366,directed,1
228,45876,directed,1
228,46365,directed,1
293,13582,directed,1
293,46367,directed,1
228,46365,directed,1
228,45876,directed,1
228,46365,directed,1
294,46368,directed,1
294,45876,directed,1
294,45911,directed,1
295,46369,directed,1
295,46370,directed,1
296,45953,directed,1
297,46371,directed,1
298,298,directed,1
298,46372,directed,1
299,13582,directed,1
299,46367,directed,1
300,46373,directed,1
300,46374,directed,1
301,46375,directed,1
301,46376,directed,1
302,46377,directed,1
286,46355,directed,1
303,287,directed,1
225,46128,directed,1
225,46250,directed,1
304,46378,directed,1
304,46379,directed,1
305,46380,directed,1
306,46381,directed,1
306,42542,directed,1
306,46382,directed,1
306,46382,directed,1
306,46381,directed,1
307,46383,directed,1
308,35314,directed,1
308,46384,directed,1
308,42563,directed,1
309,46385,directed,1
310,45876,directed,1
311,1949,directed,1
312,46386,directed,1
313,46387,directed,1
313,46388,directed,1
313,46389,directed,1
314,46390,directed,1
315,46391,directed,1
315,46391,directed,1
316,45876,directed,1
262,46392,directed,1
262,46321,directed,1
317,46393,directed,1
317,46394,directed,1
317,46395,directed,1
318,46396,directed,1
319,46397,directed,1
320,35745,directed,1
320,287,directed,1
321,46398,directed,1
321,45876,directed,1
322,46399,directed,1
292,46363,directed,1
323,46128,directed,1
324,45876,directed,1
325,46400,directed,1
326,46401,directed,1
325,46402,directed,1
228,46403,directed,1
228,46404,directed,1
228,45876,directed,1
228,46403,directed,1
327,46405,directed,1
228,46403,directed,1
228,45876,directed,1
228,46403,directed,1
328,46406,directed,1
329,36639,directed,1
330,46407,directed,1
330,46408,directed,1
230,46311,directed,1
230,46261,directed,1
331,46409,directed,1
332,46410,directed,1
333,46411,directed,1
334,46412,directed,1
334,46182,directed,1
334,46321,directed,1
326,46401,directed,1
335,46413,directed,1
335,46274,directed,1
335,45876,directed,1
336,46414,directed,1
336,46415,directed,1
247,45876,directed,1
337,46340,directed,1
338,46416,directed,1
338,46417,directed,1
339,46418,directed,1
339,46419,directed,1
339,46420,directed,1
339,45876,directed,1
337,46340,directed,1
337,46421,directed,1
228,46403,directed,1
228,46422,directed,1
228,46423,directed,1
228,45876,directed,1
228,46403,directed,1
337,45876,directed,1
340,340,directed,1
341,46382,directed,1
341,46424,directed,1
341,46425,directed,1
341,45968,directed,1
341,2996,directed,1
341,46426,directed,1
341,46427,directed,1
342,46428,directed,1
228,46354,directed,1
228,45876,directed,1
228,46354,directed,1
228,46354,directed,1
228,45876,directed,1
228,46354,directed,1
343,46429,directed,1
228,46354,directed,1
228,45876,directed,1
228,46354,directed,1
225,46250,directed,1
344,8224,directed,1
344,3583,directed,1
344,15089,directed,1
228,46354,directed,1
228,45876,directed,1
228,46354,directed,1
225,46268,directed,1
225,46250,directed,1
345,45876,directed,1
345,45911,directed,1
346,45839,directed,1
347,46430,directed,1
348,46431,directed,1
348,46432,directed,1
348,46433,directed,1
349,46434,directed,1
350,46435,directed,1
228,46338,directed,1
228,46325,directed,1
228,46436,directed,1
228,46437,directed,1
228,45876,directed,1
228,46325,directed,1
351,45367,directed,1
351,46317,directed,1
351,46438,directed,1
262,46439,directed,1
262,46440,directed,1
262,46321,directed,1
352,46441,directed,1
353,46014,directed,1
354,46442,directed,1
355,46012,directed,1
355,46013,directed,1
355,46012,directed,1
356,46443,directed,1
228,46338,directed,1
228,46444,directed,1
228,46325,directed,1
228,46445,directed,1
228,46446,directed,1
228,46319,directed,1
228,45876,directed,1
228,46338,directed,1
266,46323,directed,1
266,21609,directed,1
357,46447,directed,1
357,46448,directed,1
358,46449,directed,1
359,46031,directed,1
228,46338,directed,1
228,45876,directed,1
228,46338,directed,1
360,46264,directed,1
360,46450,directed,1
360,46451,directed,1
360,46452,directed,1
360,46453,directed,1
360,46454,directed,1
360,46455,directed,1
361,45876,directed,1
362,46456,directed,1
363,46393,directed,1
364,46457,directed,1
364,46458,directed,1
365,46323,directed,1
365,28441,directed,1
365,46459,directed,1
365,46460,directed,1
224,46461,directed,1
366,46462,directed,1
366,46463,directed,1
367,46355,directed,1
340,340,directed,1
368,46464,directed,1
368,46465,directed,1
369,45839,directed,1
370,370,directed,1
371,46466,directed,1
228,46325,directed,1
228,46467,directed,1
228,46468,directed,1
228,45876,directed,1
228,46325,directed,1
372,46469,directed,1
373,46470,directed,1
374,46471,directed,1
375,46472,directed,1
376,46473,directed,1
262,46321,directed,1
326,46401,directed,1
377,45876,directed,1
378,46097,directed,1
378,46474,directed,1
378,46475,directed,1
378,46476,directed,1
378,46477,directed,1
379,46478,directed,1
380,46479,directed,1
380,45876,directed,1
380,5965,directed,1
380,46480,directed,1
380,46481,directed,1
380,46482,directed,1
380,46483,directed,1
381,46344,directed,1
381,46484,directed,1
326,46401,directed,1
382,46485,directed,1
383,2226,directed,1
384,46486,directed,1
384,46487,directed,1
385,46408,directed,1
386,45836,directed,1
387,45876,directed,1
387,45876,directed,1
388,46488,directed,1
388,391,directed,1
389,46489,directed,1
228,46365,directed,1
228,45876,directed,1
228,46365,directed,1
390,46490,directed,1
391,46488,directed,1
391,391,directed,1
228,46365,directed,1
228,46491,directed,1
228,46492,directed,1
228,45876,directed,1
228,46365,directed,1
392,392,directed,1
393,46493,directed,1
393,45999,directed,1
