source,target,type,weight
535,26278,directed,1
597,597,directed,1
718,718,directed,1
718,718,directed,1
719,26279,directed,1
718,718,directed,1
718,718,directed,1
718,718,directed,1
718,718,directed,1
718,718,directed,1
718,718,directed,1
718,718,directed,1
597,597,directed,1
720,26110,directed,1
559,26280,directed,1
721,18956,directed,1
722,26281,directed,1
723,5545,directed,1
724,724,directed,1
424,26282,directed,1
321,321,directed,1
321,321,directed,1
597,597,directed,1
725,1266,directed,1
726,26283,directed,1
268,26284,directed,1
727,23423,directed,1
321,321,directed,1
728,26285,directed,1
729,26286,directed,1
730,730,directed,1
483,483,directed,1
289,289,directed,1
724,724,directed,1
731,26287,directed,1
570,570,directed,1
268,26288,directed,1
732,732,directed,1
732,732,directed,1
732,732,directed,1
733,26289,directed,1
734,734,directed,1
735,26130,directed,1
324,324,directed,1
736,736,directed,1
321,321,directed,1
597,597,directed,1
737,737,directed,1
738,26095,directed,1
324,324,directed,1
739,739,directed,1
740,740,directed,1
741,26290,directed,1
289,289,directed,1
321,321,directed,1
334,334,directed,1
289,289,directed,1
742,26291,directed,1
324,324,directed,1
743,743,directed,1
744,744,directed,1
241,241,directed,1
241,241,directed,1
745,26145,directed,1
241,241,directed,1
745,25949,directed,1
241,241,directed,1
734,734,directed,1
289,289,directed,1
746,746,directed,1
747,26292,directed,1
748,748,directed,1
749,26145,directed,1
750,26293,directed,1
751,26260,directed,1
321,321,directed,1
324,324,directed,1
752,752,directed,1
753,26294,directed,1
324,324,directed,1
754,26208,directed,1
755,26295,directed,1
334,334,directed,1
268,26296,directed,1
289,289,directed,1
756,756,directed,1
757,26297,directed,1
758,26298,directed,1
331,331,directed,1
759,759,directed,1
760,760,directed,1
761,26299,directed,1
762,762,directed,1
324,324,directed,1
467,752,directed,1
319,319,directed,1
763,25677,directed,1
764,26016,directed,1
765,26300,directed,1
766,26301,directed,1
767,767,directed,1
768,26302,directed,1
459,331,directed,1
289,289,directed,1
769,26303,directed,1
289,289,directed,1
289,289,directed,1
734,734,directed,1
352,352,directed,1
770,25710,directed,1
743,743,directed,1
771,26114,directed,1
598,26304,directed,1
736,736,directed,1
772,496,directed,1
743,743,directed,1
773,25968,directed,1
324,324,directed,1
321,321,directed,1
321,321,directed,1
774,26305,directed,1
775,26145,directed,1
570,570,directed,1
321,321,directed,1
737,737,directed,1
776,25710,directed,1
289,289,directed,1
289,289,directed,1
324,324,directed,1
777,26046,directed,1
321,321,directed,1
